FT  PID QT  WT
6.28 2 2 2.14
10.8533 8 8 1.42667
18 6 6 6
11.46 5 6 2.73
13 1 1 6
13.1733 7 6 3.58667
14.66 4 4 5.33
15 3 3 6
17.46 11 12 2.73
17.74 10 10 3.87
19.76 9 9 5.38
22.28 13 18 2.14
23.16 14 18 2.58
23.1733 12 16 3.58667
27.1067 16 20 3.55333
27.8533 18 25 1.42667
30.66 15 20 5.33
32.66 17 22 5.33
37.28 25 33 2.14
38.74 21 31 3.87
39.74 22 32 3.87
40.1067 24 33 3.55333
40.76 19 30 5.38
41.66 20 31 5.33
44 23 32 6
48.28 27 44 2.14
55 26 43 6
59 28 47 6
62.46 29 57 2.73
63.28 31 59 2.14
65.46 32 60 2.73
67.16 33 62 2.58
68.66 30 58 5.33
83.16 35 78 2.58
87.1733 36 80 3.58667

Patients: 35 [NP: 18, SP: 9, EP: 8]
Hospitals: 3
Cars: 42 [SCars: 11, NCars: 31]
