FT  PID QT  WT
10.1067 7 6 2.05333
11.8 9 9 1.4
12.5273 1 1 5.76364
13.7067 8 8 2.85333
14.5273 3 3 5.76364
18.2133 4 4 7.10667
20.1067 12 16 2.05333
22.9067 6 6 8.45333
23.7067 13 18 2.85333
25.6533 10 10 7.82667
30.7067 18 25 2.85333
29.6909 15 20 4.84545
31.6909 17 22 4.84545
32.8 19 30 1.4
33.6533 14 18 7.82667
34.2133 16 20 7.10667
38.7067 25 33 2.85333
43.5273 23 32 5.76364
45.2133 20 31 7.10667
46.6533 21 31 7.82667
47.2133 24 33 7.10667
47.6533 22 32 7.82667
63.9067 28 47 8.45333
72.2133 30 58 7.10667
77.6533 33 62 7.82667
84.1067 36 80 2.05333
85.2 32 60 12.6
93.6533 35 78 7.82667

Patients: 28 [NP: 12, SP: 7, EP: 9]
Hospitals: 4
Cars: 17 [SCars: 5, NCars: 12]
