FT  PID QT  WT
6.28 2 2 2.14
8.66667 7 6 1.33333
10.8533 8 8 1.42667
13 1 1 6
13 9 9 2
14.66 4 4 5.33
15 3 3 6
15.3333 10 10 2.66667
18 6 6 6
18.6667 12 16 1.33333
22.28 13 18 2.14
23.3333 14 18 2.66667
24.9 5 6 9.45
27.1067 16 20 3.55333
27.8533 18 25 1.42667
30.66 15 20 5.33
30.9 11 12 9.45
32.66 17 22 5.33
34 19 30 2
36.3333 21 31 2.66667
37.28 25 33 2.14
38.1067 20 31 3.55333
40 22 32 4
40.1067 24 33 3.55333
44 23 32 6
46.8533 27 44 1.42667
59 28 47 6
55 26 43 6
63.28 31 59 2.14
65.1067 30 58 3.55333
75.9 29 57 9.45
67.3333 33 62 2.66667
78.9 32 60 9.45
82.6667 36 80 1.33333
83.3333 35 78 2.66667
87.6 34 75 6.3
90.1067 37 83 3.55333
90.3333 38 85 2.66667
96.8533 44 94 1.42667
97 39 89 4
97.28 42 93 2.14
100.107 41 93 3.55333
104 40 92 6
105 43 93 6
105 45 97 4
108.107 47 101 3.55333
108.28 48 104 2.14
111.6 46 99 6.3
121 50 113 4
122.6 49 110 6.3

Patients: 50 [NP: 9, SP: 23, EP: 18]
Hospitals: 5
Cars: 148 [SCars: 60, NCars: 88]
