FT  PID QT  WT
6.28 2 2 2.14
10.8533 8 8 1.42667
14.66 4 4 5.33
15.8533 7 6 4.92667
18.6 5 6 6.3
19.56 1 1 9.28
20.9333 10 10 5.46667
21.56 3 3 9.28
22.28 13 18 2.14
23.78 9 9 7.39
24.56 6 6 9.28
25.8533 12 16 4.92667
27.1067 16 20 3.55333
27.8533 18 25 1.42667
28.9333 14 18 5.46667
30.66 15 20 5.33
30.9 11 12 9.45
32.66 17 22 5.33
37.28 25 33 2.14
48.4 22 32 8.2
40.1067 24 33 3.55333
41.66 20 31 5.33
44.3733 23 32 6.18667
44.78 19 30 7.39
46.8533 27 44 1.42667
47.4 21 31 8.2
65.56 28 47 9.28
61.56 26 43 9.28
63.28 31 59 2.14
65.1067 30 58 3.55333
75.9 29 57 9.45
72.9333 33 62 5.46667
78.9 32 60 9.45
94.78 36 80 7.39
87.6 34 75 6.3
93.66 37 83 5.33
94.4 35 78 8.2
95.9333 38 85 5.46667
97.28 42 93 2.14
98.28 44 94 2.14
100.107 41 93 3.55333
105.4 39 89 8.2
108.107 47 101 3.55333
108.28 48 104 2.14
110.56 40 92 9.28
111.56 43 93 9.28
111.6 46 99 6.3
115.56 45 97 9.28
122.6 49 110 6.3
129.4 50 113 8.2

Patients: 50 [NP: 17, SP: 19, EP: 14]
Hospitals: 5
Cars: 148 [SCars: 60, NCars: 88]
