FT  PID QT  WT
10.1067 7 6 2.05333
13.1067 9 9 2.05333
13.7067 8 8 2.85333
22.9067 6 6 8.45333
17.9067 1 1 8.45333
18.2133 4 4 7.10667
19.9067 3 3 8.45333
20.1067 12 16 2.05333
23.7067 13 18 2.85333
23.7067 2 2 18.8533
25.6533 10 10 7.82667
30.7067 18 25 2.85333
33.6533 14 18 7.82667
34.1067 19 30 2.05333
34.2133 16 20 7.10667
34.2133 15 20 7.10667
36.2133 17 22 7.10667
38.7067 25 33 2.85333
45.2133 20 31 7.10667
46.6533 21 31 7.82667
47.2133 24 33 7.10667
47.6533 22 32 7.82667
48.9067 23 32 8.45333
49.2 5 6 30.6
49.7067 27 44 2.85333
63.9067 28 47 8.45333
64.7067 31 59 2.85333
72.2133 30 58 7.10667
75.2 11 12 50.6
77.6533 33 62 7.82667
82.2 29 57 12.6
84.1067 36 80 2.05333
85.2 32 60 12.6
92.9067 26 43 41.4533
93.6533 35 78 7.82667
100.2 34 75 12.6

Patients: 36 [NP: 12, SP: 12, EP: 12]
Hospitals: 4
Cars: 45 [SCars: 12, NCars: 33]
